question,option_one,option_two,option_three,option_four,answer
आजीवन शील किसने पाला?,स्थूलीभद्र-रूपकोशा, विजय सेठ-सेठानी, धन्ना-सुभद्रा, शालिभद्र-भद्रा,2
तिविहार के प्रत्याख्यान में किस पदार्थ की छुट होती है?,पानी, दुध, रस, दवाई ,1
नरक जाने का highway कौनसा?,रात्रीभोजन, झूठ बोलना, चोरी करना, परिग्रह,1
इस अवसर्पिणी काल में सर्वप्रथम मोक्ष में कौन गए?,ऋषभसेन,भ.ऋषभदेव, बाहुबली, मरुदेवी,4
द्वारिका नगरी को किसने जलाया?,जराकुमार, द्वैपायन ऋषि, जरासंध, कंस,2
वासुदेव मरकर कहां जाते हैं?,नरक, तिर्यंच, मनुष्य, देव ,1
रथनेमी को किसने सन्मार्ग पर लाया?,सत्यभामा, सत्यमति, राजीमती, रुक्मिणी ,3
किस वासुदेव का जन्म कारागृह में हुआ था?,त्रिपृष्ठ, श्रीकृष्ण, लक्ष्मण ,,2
भरत चक्रवर्ती को किसने हराया था?,ऋषभसेन, श्रेयांसकुमार, मरीची, बाहुबली,4
इस युग के प्रथम आचार्य कौन हुए?,गौतम स्वामी, जम्बु स्वामी, सुधर्मा स्वामी, प्रभव स्वामी ,3
इस युग के अंतिम श्रुत केवली कौन हुए?,गौतम स्वामी, जम्बु स्वामी, भद्रबाहु स्वामी, प्रभव स्वामी,3
अपनी प्रियतमा को श्राविका किसने बनाया?,श्रियक, स्थुलीभद्र, यशोभद्र, बलभद्र,2
जैन धर्म के अनुसार व्यसन कितने हैं?,3,5,9,7,4
किसका नाम सुनते ही जैन अँटेन्शन की मुद्रा में आते हैं?,ध्यान, कायोत्सर्ग, कायाक्लेश, प्रतिसंलिनता,2
देवी-देवता पर्युषण पर्व कहां मनाते हैं?,जम्बुद्वीप, धातकी खंड, पुष्करद्वीप, नंदीश्वरद्वीप,4
भारत के किस राज्य में सबसे ज्यादा जैन है?,महाराष्ट्र, मध्यप्रदेश, तमिलनाडु, उत्तरप्रदेश,1
आत्मा के व्यापार की दुकान कौनसी?,कर्म, तीनों योग, कषाय, मिथ्यात्व,2
दुनिया में सर्वोत्कृष्ट व्यापारी कौन?,समकित, दर्शन, आत्मा, तीर्थंकर ,3
लोकचित्र के नीचे क्या लिखा होता है?,रेखाचित्र, मानचित्र, स्मृतिचित्र, लोकचित्र,4
साधु की सबसे छोटी देशना कौनसी?,दया पालो, सुखसाता है क्या?, पधारो,,1
इस दुनिया को अपने शास्त्र में क्या कहते हैं?,विश्व, लोक, जगत्, देश,2
ज्ञान की दुर्बिन कौनसी?,सुनना, कहना, चिंतन, बोलना,3
चंडकौशिक कहां रहता था?,घरमें, गुफामें, मंदिरमें, जंगलमें ,4
इनमें से दसवें तीर्थंकर कौनसे है?,पार्श्वनाथजी, अनंतनाथजी, शीतलनाथजी, मुनिसुव्रतजी,3
नवकार मंत्र है महामंत्र इस गीत के रचयिता कौन है?,रसिकमुनि, अशोकमुनि, सूर्यमुनि, ऋषभमुनि,2
कर्म के बीज कौनसे?,आलस, विकथा, कषाय, राग-द्वेष ,4
श्रावक के मनोरथ कितने है?,3,4,7,11,1
पू. आनंदऋषिजी म.सा. की संयम पर्याय कितने वर्ष की रही? ,78,80,79,92,3
पू. किरणप्रभाजी म.सा. के गुरु का नाम बताइए।,किशनऋषिजी म., मोहनऋषिजी म., उत्तमऋषिजी म., देवजीऋषिजी म.,2
पू. किरणप्रभाजी म.सा. के गुरुणीसा का नाम बताइए।,प्रमोदसुधाजी म., विनयकंवरजी म., शांतिकंवरजी म., उज्ज्वलकुमारीजी म. ,4
पू. किरणप्रभाजी म.सा. के जन्म जयंति पर कौनसा खेल निकाला?,जैना इलेक्ट्रॉ, जैना अॅक्टिव्हिटी, जैना कार्ड, जैना पझल,3
पू. आनंदऋषिजी म.सा. के समाधि स्थल का नाम क्या है?,आनंदधाम, आनंद स्मारक, आनंद स्थान, आनंद समाधि,1
पू. किरणप्रभाजी म.सा.  के नाम से स्कूल कहां है? ,दिग्रस, पाचोरा, अहमदनगर, जलगांव,2
आनंदऋषिजी हॉस्पिटल किस शहर में है?,पुणा, बंबई, अहमदनगर,नासिक,3
पू. किरणप्रभाजी म.सा. का विशेषण क्या है?,मधुरवक्ता, साध्वीरत्ना, शास्त्र विशारदा, संयमसाधिका,2
पू. किरणप्रभाजी म.सा. की जन्मभूमि कहां है? ,दिग्रस, ढाणकी, यवतमाल, नागपुर ,1
पू. किरणप्रभाजी म.सा. ने अखंड मौन साधना कितने दिन की?,३०० दिन, १०१ दिन, १ दिन, १ वर्ष,4
पू. आनंदऋषिजी म.सा. किस संघ के आचार्य रहे?,गोंडल सम्प्रदाय, श्रमण संघ, ऋषि सम्प्रदाय, कोटा सम्प्रदाय,2
