question,option_one,option_two,option_three,option_four,answer
भ.महावीर की पुत्री का नाम क्या ?, प्रियदर्शना, सुदर्शना, नंदीवर्धना, प्रियवर्धना,1
भ.महावीर को केवलज्ञान किस नदी के तट पर हुआ?, गंगा, ऋजुबालिका, सरस्वती, कुलबालिका,2
भ.महावीर को केवलज्ञान किस उम्र में हुआ?,30,42,72,22,2
भ.महावीर को केवलज्ञान किस वृक्ष के नीचे हुआ?, अशोक, साल, शाल्मली, उदुंबर ,2
भ.महावीर के बहन का नाम क्या ?, प्रियदर्शना, प्रियनंदा, सुदर्शना, नंदीवर्धना,3
तीर्थंकर कितने इन्द्रों से पूजित होते हैं?,16,24,64,72,3
भ.महावीर की जन्म तिथि कौनसी?, एकम, दशमी, पौर्णिमा, तेरस,4
भ.महावीर ने कितने वर्षों तक तपस्या की?,30,42,12,15,3
भ.महावीर की प्रमुख शिष्या कौन थी?, चंदनबाला, ब्राह्मी, सुलसा, सुभद्रा,1
भ.महावीर के प्रमुख शिष्य कौन थे?, सुधर्मा स्वामी, गौतम स्वामी, जम्बु स्वामी, सुजात स्वामी ,2
भ.महावीर का अभिग्रह किसने पूरा किया?, बहुल ब्राम्हण, पुरण सेठ, चंदनबाला, सिद्धार्थ वणिक,3
भ.महावीर अनार्य देश में कितनी बार गए?,4,1,3,2,4
भ.महावीर के साथ अनार्य देश में कौन गया था?, जमाली, गोशालक, सिद्धार्थ, नंदीवर्धन,2
भ.महावीर की निर्वाण तिथि किस पर्व के रूप में मनाते हैं?,महावीर जयंति, अक्षयतृतीया, पर्युषण, दीपावली ,4
पांच पदों में से तीर्थंकर का पद कौनसा?, अरिहंत, सिद्ध, आचार्य, उपाध्याय ,1
एक कालचक्र में कितने तीर्थंकर होते हैं?,24,48,20,72,2
भ.महावीर के प्रमुख श्रावक कौन थे?, शालिनीपिता, कामदेव, आनंद, पुणिया,3
राजगृही नगरी में भ.महावीर ने कितने चातुर्मास किए?,16,12,14,18,3
भ.महावीर की अंतिम देशना कितने प्रहर तक चली?,3,12,9,16,4
उत्तराध्ययन सूत्र किसकी अंतिम देशना है?,भ.महावीर, सुधर्मा स्वामी, गौतम स्वामी, जम्बु स्वामी,1
तीर्थंकर प्रतिदिन कितना दान देते हैं?,108000,1008,10800000,18000000,3
तीर्थंकर दीक्षा के पूर्व कितने दिन दान देते हैं?, १०० दिन, १ वर्ष, २ वर्ष, १ दिन ,2
तीर्थंकर को तीर्थ प्रवर्तन की विनंती कौन करते हैं?, ग्रैवेयक देव, ज्योतिषी देव, लोकांतिक देव, भवनपति देव,3
तीर्थंकर को जन्म से कितने ज्ञान होते हैं?,2,3,5,1,2
तीर्थंकर को दीक्षा लेते ही कौनसा ज्ञान होता है ?, केवलज्ञान, अवधिज्ञान, श्रुतज्ञान, मनःपर्यवज्ञान,4
तीर्थंकर केवल ज्ञान के प्राप्ति तक प्रायः क्या करते हैं?, मौन, तपस्या, ध्यान, साधना,1
तीर्थंकर समवशरण में किस दिशा में मुंह करके बैठते हैं?, पश्चिम, उत्तर, पूर्व, दक्षिण ,3
तीर्थंकर की वाणी के कितने गुण होते हैं ?,34,35,21,108,2
तीर्थंकर के कितने अतिशय होते हैं?,34,35,19,4,1
भ.महावीर का जन्म किस आरे में हुआ?, पहले, दूसरे, तीसरे, चौथे,4
भ.महावीर का संदेश क्या है?, गौतम स्वामी, आनंदऋषिजी म. सा., भ.महावीर,जम्बु स्वामी,3
भ.महावीर के नाना कौन थे?, चेटक, समरवीर, चण्डप्रद्योत, दधिवाहन,2
भ.महावीर ने विश्व को कितने सिध्दांत दिए?,1,3,5,2,2
इस युग के प्रथम तीर्थंकर कौन हैं?, भ. ऋषभदेव,भ.महावीर, भ. पद्मनाथ,  भ. ऋषभसेन,1
सबसे ज्यादा उपसर्ग किस तीर्थंकर को आए?,  भ. ऋषभदेव,भ.महावीर, भ. सुमतिनाथ,  भ. पार्श्वनाथ,2
तीर्थंकर कितने लक्षण से युक्त होते हैं?,108,108000,1008,10800000,3
भ.महावीर का अंतिम चातुर्मास कहां हुआ?, राजगृही, मगध, चंपानगरी, पावापूरी,4
तीर्थंकर के मुरव्य शिष्य को क्या कहते हैं?, विहरमान, गणधर, श्रावक, साधु ,2
२४ तीर्थंकरों में से सबसे अधिक पुण्य किसका?, अभिनंदनजी, शांतिनाथजी, भ.महावीर , पार्श्वनाथजी,4
तीर्थंकर वर्तमान में कहां है?, भरतक्षेत्र, महाविदेहक्षेत्र, देवकुरु, ऐरावत क्षेत्र ,2
भ.महावीर को सबसे ज्यादा प्रश्न किसने पूछे?, जयंति श्राविका, कालोदयी, गौतम स्वामी, गोशालक ,3
भ.महावीर को किसने दंश मारा था?, चण्डप्रद्योत, चण्डरुद्र, चण्डकौशिक, चण्डकोलिया,3
तीर्थंकर के कितने प्रतिहार्य होते हैं?,8,34,35,64,1
तीर्थंकर की आत्मा किस किस गति से आती है?, देव-मनुष्य, मनुष्य-तिर्यंच, मनुष्य-नरक, देव-नरक,4
तीर्थंकर के प्रवचन को क्या कहते हैं?, व्याख्यान, देशना, उपदेश, बोधिलाभ,2
तीर्थंकर के समवशरण की रचना कौन करते हैं?, मनुष्य, राजा, देवता, गणधर,3
एक समय में उत्कृष्ट तीर्थंकर कितने होते हैं?,160,120,48,170,4
तीर्थंकर कितने दोषों से रहित होते हैं?,18,12,21,15,1
तीर्थंकर को शक्रेन्द्र किस पाठ से वंदना करते हैं?, लोगस्स, णमोत्थुणं, नवकार मंत्र, सिध्द स्तुति,2
