question,option_one,option_two,option_three,option_four,answer
" जिन जीवों को मन होता है, उन्हें क्या कहते हैं?",अमनस्क, असंज्ञी, संज्ञी, मनस्वी ,3
 जीवों को पहचानने के चिन्ह को क्या कहते हैं?,लिंग,इन्द्रिय,शरीर,नाम ,2
 इन्द्रियां कितनी होती हैं?,5,3,2,11,1
 जीव के कितने भेद हैं?,1,3,5,2,4
 संसारी जीव के कितने भेद हैं?,1,2,3,4,2
 बेइन्द्रिय से पंचेन्द्रिय तक के जीवों को क्या कहते हैं?,त्रस,प्राणी,विकलेंद्रिय,सत्व ,1
 स्थावर जीवों के कितने भेद हैं?,1,2,5,4,3
मनुष्य को कितनी इन्द्रियां होती हैं ?,2,3,4,5,4
लोक के अग्र भागपर क्या है?,पृथ्वी,सिद्धशीला,देवता,तिर्यंच ,2
जैन धर्म में इंद्रिय जनित ज्ञान को क्या कहते हैं?,अवधिज्ञान, केवलज्ञान, श्रुतज्ञान, मतिज्ञान ,4
अंधे व्यक्ति को कितनी इन्द्रियां होती है?,1,2,3,5,4
सबसे आसान पुण्य कौनसा है?,अन्नपुण्य, पानपुण्य, नमस्कारपुण्य,लयनपुण्य,3
"देवों के वस्त्र, आभूषण किस काया के होते हैं?", पृथ्वीकाय,अपकाय,तेऊकाय,वनस्पतिकाय ,1
जिसके संयोग से जीव जीता है वह क्या है?,पर्याप्ती,प्राण,आत्मा,शरीर ,2
तिर्यञ्च कितने लोक में व्याप्त है?,अधोलोक,मध्यलोक,ऊर्ध्वलोक, तीनों लोक ,4
मनुष्य कितने द्वीप रहते हैं?,1.5,2.5,2,3,2
देव और नारकी जीवों को कितनी इन्द्रियां होती हैं?,1,2,5,3,3
एक शरीर में अनंत जीव किस वनस्पति में होते हैं?,सूक्ष्म,प्रत्येक,कंद,साधारण ,4
नमक की एक डली में कितने जीव होते हैं?,असंख्यात,संख्यात,अनंत,बहुत ,1
किस काय की रक्षा करना मुश्किल है?, पृथ्वीकाय,वायुकाय,तेऊकाय,वनस्पतिकाय,2
कौनसी इन्द्रिय दो काम करती है?,स्पर्शेन्द्रिय, घ्राणेन्द्रिय, रसनेन्द्रिय, श्रोत्रेन्द्रिय,3
किस इन्द्रिय से हम अच्छी बातें सुन सकते हैं?,स्पर्शेन्द्रिय, घ्राणेन्द्रिय, रसनेन्द्रिय, श्रोत्रेन्द्रिय,4
एकेन्द्रिय जीव को कौनसी इन्द्रिय होती है?,स्पर्शेन्द्रिय, घ्राणेन्द्रिय, रसनेन्द्रिय, श्रोत्रेन्द्रिय,1
मनुष्य का शरीर कौनसा हैं?,वैक्रिय, औदारिक, कार्मण, आहारक ,2
जीव का दूसरा नाम क्या है?,संसारी, सजीव, आत्मा, चैतन्य,3
घडी निम्नलिखित किस विभाग में आती है ?,त्रस, स्थावर, सजीव, अजीव ,4
चलती हुई गाड़ी की काया कौनसी ?,पृथ्वीकाय, अपकाय, तेऊकाय, वह अजीव है ,4
बहते हुए पानी को क्या कहेंगे ?,त्रस, स्थावर,विकलेन्द्रिय, अजीव,2
कौनसा द्रव्य जीव और पुद्गल को स्थान देता है?,धर्मास्तिकाय,अधर्मास्तिकाय,काल,आकाशास्तिकाय,4
पर्यावरण को शुद्ध बनाने वाली काया कौनसी?,पृथ्वीकाय, वनस्पतीकाय, अपकाय, तेऊकाय,2
श्रावक के व्रत कितने हैं?,पाँच, ग्यारह, बारह, एक,3
लेश्या कितनी है?,6,3,2,5,1
पांच इन्द्रियों के विषय कितने हैं?,108,23,10,240,2
जैन दर्शन के मान्य तत्त्व कितने हैं?,2,7,9,1,3
जैन दर्शन में कितने द्रव्य माने गए हैं?,1,2,4,6,4
ज्ञानावरणीय कर्म के कितने भेद हैं?,9,5,2,28,2
गुणस्थान कितने हैं?,14,12,10,15,1
अविरत सम्यग्दृष्टि गुणस्थान में किसकी प्राप्ति होती है?,मिथ्यात्व, सिद्धि , सम्यक्त्व,मुक्ती,3
लोक के कितने भेद हैं?,1,3,2,4,2
कर्मों का आत्मा के साथ दूध पानी की तरह मिलना क्या है?,आश्रव, निर्जरा, मोक्ष, बंध,4
आते हुए कर्मों का रुक जाना कौनसा तत्व है?,आश्रव, संवर, निर्जरा, बंध,2
कर्मों का आत्मा से अलग होना कौनसा तत्त्व है?,आश्रव, संवर, निर्जरा, बंध,3
जिनमें मोक्ष जाने की योग्यता है उन्हें क्या कहते हैं?,अभवी, भवी, जातीभवी, नोभवी,2
जम्बूद्वीप के मध्य में क्या है?,भरतक्षेत्र, ऐरावतक्षेत्र, महाविदेहक्षेत्र, मेरुपर्वत,4
मध्यलोक में कितने द्वीप- समुद्र हैं ?,संख्यात, असंख्यात, अनंत, बहुत ,2
"आर्तध्यान, रौद्रध्यान कैसे ध्यान है?",अशुभ, शुभ, गलत, सही,1
जीव राशि के कुल कितने भेद हैं?,560,563,14,530,2
लाल रंग किस इन्द्रिय का विषय है?,श्रोत्रेन्द्रिय, चक्षुन्द्रिय, रसनेन्द्रिय,घ्राणेन्द्रिय,2
उपयोग कितने है?,5,4,9,12,4
आठ कर्म में किसको जीतना कठिन है?,मोहनीय, आयु, कर्म, अंतराय,1
पांच इन्द्रियों में से किसको जीतना कठिन है?,श्रोत्रेन्द्रिय, चक्षुन्द्रिय, रसनेन्द्रिय,घ्राणेन्द्रिय,3
तीन योग में किसको जीतना कठिन है?,तीनों, वचन, काय, मन,4
कैमरे का काम करने वाला शरीर कौनसा?,औदारिक, कार्मण, वैक्रिय, तेजस,2
१४ पूर्वधारी मुनि को कौनसा शरीर प्राप्त होता है?,औदारिक, कार्मण, आहारक, तेजस,3
आहार पचाने वाला शरीर कौनसा?,औदारिक, कार्मण, आहारक, तेजस,4
आत्मा का अंतिम स्टेशन कौनसा?,घर, मोक्ष, श्मशान, स्वर्ग,2
वस्तु के सामान्य स्वरूप को जानना क्या है?,ज्ञान, दर्शन, अवबोध, समझ,2
वस्तु के विशेष स्वरूप को जानना क्या है?,ज्ञान, दर्शन, अवबोध, समझ,1
मच्छर की जाति कौनसी है?,एकेन्द्रिय, बेइन्द्रिय, चौरेन्द्रिय, पंचेन्द्रिय,3
जीव की गति में सहायक द्रव्य कौनसा है?,अधर्मास्तिकाय, धर्मास्तिकाय, पुद्गलास्तिकाय, जीवास्तिकाय,2
आत्मा और कर्म को कौन चिपकाती है?,लेश्या, दण्ड, मिथ्यात्व, कषाय,1
कीडी में कितनी इन्द्रियां होती हैं?,1,2,3,4,3
काकडी की गति कौनसी है?,नरक, तिर्यंच, देव, मनुष्य ,2
हीरे की काया कौनसी है?,अपकाय, तेऊकाय, वायुकाय, पृथ्वीकाय,4
पर्याप्ति कितनी हैं?,2,3,6,5,3
सिध्दशिला कितने योजन की है?,१ लाख , ४५ लाख, १२ लाख , ४ लाख ,2
किस गति से मोक्ष में जा सकते हैं?,नरक, तिर्यंच, मनुष्य, देव,3
पांचों जातियां किस गति में होती हैं?,नरक, तिर्यंच, मनुष्य, देव,2
देवता और नारकी का शरीर कौनसा?,औदारिक, वैक्रिय, आहारक, तेजस,2
सिद्ध भगवान के पास कौनसा ज्ञान होता है?,मतीज्ञान, श्रुतज्ञान, अवधिज्ञान, केवलज्ञान,4
जैन धर्म का पूराना नाम क्या था?,निर्ग्रंथ धर्म, मोक्ष धर्म, जिन धर्म, अरिहंत धर्म,1
श्रावक के अभिगम कितने हैं?,2,5,8,3,2
आंख पर चश्मा किस कर्म के उदय से आता है?,ज्ञानावरणीय, वेदनीय, दर्शनावरणीय, मोहनीय,3
वीतराग वाटिका में प्रवेश करने का द्वार कौनसा?,मिथ्यात्व, समभाव, प्रवचन, समकित ,4
साधु-साध्वी की कितनी माता होती हैं?,2,8,5,4,2
सर्वप्रथम आगम का हिंदी अनुवाद किसने किया?,अमोलकऋषिजी म. सा., तिलोकऋषिजी म. सा., आनंदऋषिजी म. सा., रत्नऋषिजी म. सा.,1
४८ मिनट का तप कौनसा?,पौरुषी, सामायिक, नवकारसी, चौविहार,3
तिक्खुत्तो का पाठ किस आगम से लिया है?,भगवती, आचारांग, स्थानांग, राजप्रश्नीय,4
एक तिर्यंच श्रावक कितने व्रत का पालन कर सकता है?,12,11,10,5,2
साधु कैसा आहार करते हैं?,सचित, मिश्र, अचित, बासी,3
चक्रवर्ती कितने होते हैं?,9,24,12,8,3
वासुदेव कितने होते हैं?,9,24,12,8,1
बलदेव कितने होते हैं?,12,9,24,8,2
श्रावक पद रीन्यू कराने का दिन कौनसा?,मौन ग्यारस, ज्ञानपंचमी, महावीर जयंती, संवत्सरी,4
पैंडल बिना कौनसा चक्र चलता है?,परम चक्र, सुदर्शन चक्र, काल चक्र, ऋतु चक्र,3
गुरुभक्ति के लिए कौन प्रसिद्ध है?,गौतम स्वामी, जम्बु स्वामी, अतिमुक्तक, श्रीकृष्ण ,1
सेवा के लिए प्रसिद्ध मुनि कौन?,नंदीवर्धन, नंदीषेण, महासेन, बलभद्र,2
किसकी बुद्धि श्रेष्ठ मानी जाती है?,कार्तिकसेठ, अभयकुमार, शालिभद्र, कयवण्णा,2
कपोत पर दया करके तीर्थंकर कौन बने?,मेघकुमार, शिवकुमार, मेघरथ राजा, स्वर्णरथ राजा,3
मंगल पाठ में कितने शरण बताए हैं?,1,2,3,4,4
आजीवन शील किसने पाला?,स्थूलीभद्र-रूपकोशा, विजय सेठ-सेठानी, धन्ना-सुभद्रा, शालिभद्र-भद्रा,2
तिविहार के प्रत्याख्यान में किस पदार्थ की छुट होती है?,पानी, दुध, रस, दवाई ,1
नरक जाने का highway कौनसा?,रात्रीभोजन, झूठ बोलना, चोरी करना, परिग्रह,1
इस अवसर्पिणी काल में सर्वप्रथम मोक्ष में कौन गए?,ऋषभसेन,भ.ऋषभदेव, बाहुबली, मरुदेवी,4
द्वारिका नगरी को किसने जलाया?,जराकुमार, द्वैपायन ऋषि, जरासंध, कंस,2
वासुदेव मरकर कहां जाते हैं?,नरक, तिर्यंच, मनुष्य, देव ,1
रथनेमी को किसने सन्मार्ग पर लाया?,सत्यभामा, सत्यमति, राजीमती, रुक्मिणी ,3
किस वासुदेव का जन्म कारागृह में हुआ था?,त्रिपृष्ठ, श्रीकृष्ण, लक्ष्मण ,द्विपृष्ठ,2
भरत चक्रवर्ती को किसने हराया था?,ऋषभसेन, श्रेयांसकुमार, मरीची, बाहुबली,4
इस युग के प्रथम आचार्य कौन हुए?,गौतम स्वामी, जम्बु स्वामी, सुधर्मा स्वामी, प्रभव स्वामी ,3
इस युग के अंतिम श्रुत केवली कौन हुए?,गौतम स्वामी, जम्बु स्वामी, भद्रबाहु स्वामी, प्रभव स्वामी,3
अपनी प्रियतमा को श्राविका किसने बनाया?,श्रियक, स्थुलीभद्र, यशोभद्र, बलभद्र,2
जैन धर्म के अनुसार व्यसन कितने हैं?,3,5,9,7,4
किसका नाम सुनते ही जैन अँटेन्शन की मुद्रा में आते हैं?,ध्यान, कायोत्सर्ग, कायाक्लेश, प्रतिसंलिनता,2
देवी-देवता पर्युषण पर्व कहां मनाते हैं?,जम्बुद्वीप, धातकी खंड, पुष्करद्वीप, नंदीश्वरद्वीप,4
भारत के किस राज्य में सबसे ज्यादा जैन है?,महाराष्ट्र, मध्यप्रदेश, तमिलनाडु, उत्तरप्रदेश,1
आत्मा के व्यापार की दुकान कौनसी?,कर्म, तीनों योग, कषाय, मिथ्यात्व,2
दुनिया में सर्वोत्कृष्ट व्यापारी कौन?,समकित, दर्शन, आत्मा, तीर्थंकर ,3
परस्परोपग्रहो जीवानाम्' किसके नीचे लिखा होता है?,रेखाचित्र, मानचित्र, स्मृतिचित्र, लोकचित्र,4
साधु की सबसे छोटी देशना कौनसी?,दया पालो, सुखसाता है क्या?, पधारो,खुश रहो ,1
इस दुनिया को अपने शास्त्र में क्या कहते हैं?,विश्व, लोक, जगत्, देश,2
ज्ञान की दुर्बिन कौनसी?,सुनना, कहना, चिंतन, बोलना,3
चंडकौशिक कहां रहता था?,घरमें, गुफामें, मंदिरमें, जंगलमें ,4
इनमें से दसवें तीर्थंकर कौनसे है?,पार्श्वनाथजी, अनंतनाथजी, शीतलनाथजी, मुनिसुव्रतजी,3
नवकार मंत्र है महामंत्र' इस गीत के रचयिता कौन है?,रसिकमुनि, अशोकमुनि, सूर्यमुनि, ऋषभमुनि,2
कर्म के बीज कौनसे?,आलस, विकथा, कषाय, राग-द्वेष ,4
श्रावक के मनोरथ कितने है?,3,4,7,11,1
